Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
young,Male,1.727,70,"Finance;Student;Social media based industry ( instagram influencer , youtuber , etc )",3 to 5 days a week,4,6,5,2,0,0,4,0,6,3,4,6 to 8 hours
young,Male,1.8291,80,"Primary sector (raw material based industry like Agriculture , Mining , etc)",Once every day,6,3,2,1,1,1,1,0,4,1,10,more than 8 hours
young,Male,1.5249,70,Health Care,Once every day,5,5,4,0,0,0,2,0,2,2,10,6 to 8 hours
young,Male,1.5249,75,Finance;Student,Once every day,5,8,5,3,1,1,3,0,5,2,8,more than 8 hours
young,Female,1.778,78,Student,rarely,2,2,2,2,0,1,3,6,2,4,4,6 to 8 hours
young,Male,1.803,95,Legal,3 to 5 days a week,4,7,4,0,0,0,6,0,6,3,8,more than 8 hours
young,Male,1.727,65,"Marketing;Social media based industry ( instagram influencer , youtuber , etc )",3 to 5 days a week,6,7,4,1,1,1,3,0,5,3,5,6 to 8 hours
young,Male,1.803,75,Hospitality and Service,Once every day,8,2,1,3,0,0,2,0,4,1,9,less than 6 hours
young,Male,1.5249,79,Bureaucracy,3 to 5 days a week,4,6,2,0,0,0,6,0,5,1,7,less than 6 hours
young,Male,1.829,75,Marketing,6 days a week,6,7,4,2,1,2,5,1,5,1,5,more than 8 hours
old,Male,1.727,85,Legal,rarely,1,9,5,4,3,3,5,2,7,4,4,less than 6 hours
old,Male,1.8292,100,Management and Administration,3 to 5 days a week,3,6,5,4,1,1,5,1,6,3,5,more than 8 hours
old,Male,1.8293,80,Health Care,3 to 5 days a week,5,3,2,1,1,0,1,2,3,3,4,6 to 8 hours
young,Male,1.829,75,Design and Architecture,3 to 5 days a week,5,6,4,1,2,1,2,0,6,2,4,less than 6 hours
old,Female,1.5243,79,"Science and Technology;Health Care;Hospitality and Service;Bureaucracy;Finance;Legal;Management and Administration;Marketing;Academic (Professor , Teachers , etc);Design and Architecture;Student;Defence / law  enforcement;Freelancer;fitness industry;Glamour industry (modelling , acting , music , etc);Primary sector (raw material based industry like Agriculture , Mining , etc);Social media based industry ( instagram influencer , youtuber , etc )",never,0,1,1,2,2,0,10,0,10,6,3,more than 8 hours
teen,Male,1.5241,53.5,Student,Once every day,4,2,1,1,1,1,3,0,5,5,6,6 to 8 hours
old,Male,1.829,69,Defence / law  enforcement,Once every day,7,1,1,0,0,0,0,0,0,1,10,more than 8 hours
teen,Female,1.626,50,Health Care;Student,3 to 5 days a week,3,6,4,3,1,1,4,0,5,2,5,6 to 8 hours
young,Male,1.5249,65,"Academic (Professor , Teachers , etc)",Once every day,4,7,3,0,0,0,3,0,5,2,7,6 to 8 hours
young,Female,1.651,64,Design and Architecture;Student;Freelancer,Once every day,9,1,3,3,0,0,3,2,5,6,3,more than 8 hours
young,Male,1.778,85,Design and Architecture,Only on week-ends ( or 2 days a week),6,7,4,2,0,0,3,0,5,2,6,more than 8 hours
young,Female,1.524,45,"fitness industry;Social media based industry ( instagram influencer , youtuber , etc )",Once every day,7,7,4,2,0,1,2,1,7,2,6,6 to 8 hours
young,Male,1.829,90,Finance;Management and Administration,Once every day,3,7,4,3,1,1,4,1,6,3,5,6 to 8 hours
young,Male,1.702,60,Defence / law  enforcement,6 days a week,7,3,2,1,1,1,2,1,4,1,10,6 to 8 hours
old,Male,1.8291,85,Finance;Legal,3 to 5 days a week,7,8,5,1,1,1,2,0,5,2,6,6 to 8 hours
young,Male,1.803,78,Marketing,6 days a week,6,6,3,2,0,1,3,0,4,2,7,6 to 8 hours
young,Female,1.651,49,Design and Architecture,3 to 5 days a week,3,7,4,0,0,0,5,0,5,2,6,6 to 8 hours
young,Female,1.5241,65,Legal,6 days a week,2,8,4,3,1,1,3,0,5,2,7,6 to 8 hours
young,Male,1.803,75,Freelancer;fitness industry,6 days a week,6,1,1,3,1,2,3,1,5,1,10,6 to 8 hours
young,Female,1.6,50,"Freelancer;Social media based industry ( instagram influencer , youtuber , etc )",6 days a week,6,7,4,2,1,0,2,0,5,3,6,6 to 8 hours
old,Female,1.499,45,"fitness industry;Social media based industry ( instagram influencer , youtuber , etc )",6 days a week,7,4,3,0,0,0,1,0,0,1,7,6 to 8 hours
young,Female,1.676,56,Marketing,3 to 5 days a week,4,7,4,0,0,0,6,3,5,2,6,6 to 8 hours
old,Male,1.727,76,Hospitality and Service,3 to 5 days a week,5,5,3,2,1,0,2,1,5,3,5,6 to 8 hours
young,Male,1.5249,79,Finance,Only on week-ends ( or 2 days a week),3,6,2,1,0,0,2,2,4,3,5,less than 6 hours
